"First Name","Last Name",Country,Email,Phone,LoyaltyPoints
Liam,Nguyen,China,NULL,NULL,NULL
Zhang,Rossi,Mexico,NULL,NULL,NULL
Carlos,Khan,China,NULL,NULL,NULL
Hiroshi,Kim,Russia,NULL,NULL,NULL
Muhammad,Martinez,Vietnam,NULL,NULL,NULL
Lucas,Khan,Australia,NULL,NULL,NULL
Hiroshi,Nguyen,Australia,NULL,NULL,NULL
Santiago,Schneider,Canada,NULL,NULL,NULL
Santiago,Khan,Nigeria,NULL,NULL,NULL
Lucas,Garcia,Spain,NULL,NULL,NULL
Maria,Rossi,Japan,NULL,NULL,NULL
Chen,Garcia,Spain,NULL,NULL,NULL
Maria,Silva,India,NULL,NULL,NULL
Sara,Garcia,Italy,NULL,NULL,NULL
Isabella,Johansson,Spain,NULL,NULL,NULL
Carlos,Garcia,"United Kingdom",NULL,NULL,NULL
Carlos,Hassan,Canada,NULL,NULL,NULL
Ingrid,Ivanov,Russia,NULL,NULL,NULL
Fatima,Nguyen,Vietnam,NULL,NULL,NULL
David,Patel,Mexico,NULL,NULL,NULL
Elena,MYller,India,NULL,NULL,NULL
Lucas,Smith,Nigeria,NULL,NULL,NULL
Santiago,Dubois,Egypt,NULL,NULL,NULL
John,Nguyen,France,NULL,NULL,NULL
Aisha,Khan,India,NULL,NULL,NULL
Ingrid,Khan,Italy,NULL,NULL,NULL
Lucas,Martinez,"South Korea",NULL,NULL,NULL
Olivia,Rossi,Vietnam,NULL,NULL,NULL
Aisha,Sato,Pakistan,NULL,NULL,NULL
Fatima,Martinez,Mexico,NULL,NULL,NULL
Santiago,Rossi,Brazil,NULL,NULL,NULL
Aisha,Dubois,Japan,NULL,NULL,NULL
Ingrid,Hassan,India,NULL,NULL,NULL
Isabella,Johansson,"South Korea",NULL,NULL,NULL
John,Brown,Nigeria,NULL,NULL,NULL
Zhang,Brown,Sweden,NULL,NULL,NULL
Hiroshi,Kim,Sweden,NULL,NULL,NULL
Lucas,MYller,Germany,NULL,NULL,NULL
Elena,Smith,Canada,NULL,NULL,NULL
Ingrid,Yamamoto,Spain,NULL,NULL,NULL
Zhang,Garcia,India,NULL,NULL,NULL
Santiago,Johansson,Spain,NULL,NULL,NULL
Carlos,Nguyen,Japan,NULL,NULL,NULL
Liam,Sato,Vietnam,NULL,NULL,NULL
Santiago,Khan,Australia,NULL,NULL,NULL
David,Johansson,"United Kingdom",NULL,NULL,NULL
Hiroshi,Garcia,"South Korea",NULL,NULL,NULL
Carlos,Kim,Italy,NULL,NULL,NULL
Fatima,Martinez,Japan,NULL,NULL,NULL
Fatima,Brown,China,NULL,NULL,NULL
Sophia,Smith,India,NULL,NULL,NULL
Olivia,Khan,Pakistan,NULL,NULL,NULL
Carlos,MYller,India,NULL,NULL,NULL
Isabella,Yamamoto,Pakistan,NULL,NULL,NULL
John,Martinez,"United Kingdom",NULL,NULL,NULL
Zhang,Patel,Mexico,NULL,NULL,NULL
Ahmed,MYller,Italy,NULL,NULL,NULL
Muhammad,Nguyen,Nigeria,NULL,NULL,NULL
Ahmed,Garcia,Canada,NULL,NULL,NULL
Liam,Brown,Spain,NULL,NULL,NULL
David,Kim,Russia,NULL,NULL,NULL
John,Johansson,Russia,NULL,NULL,NULL
Elena,Johansson,Russia,NULL,NULL,NULL
Elena,Khan,Canada,NULL,NULL,NULL
Elena,Silva,Brazil,NULL,NULL,NULL
Isabella,Martinez,Australia,NULL,NULL,NULL
Elena,Johansson,Nigeria,NULL,NULL,NULL
Olivia,Silva,Australia,NULL,NULL,NULL
David,Khan,Nigeria,NULL,NULL,NULL
Fatima,Rossi,Egypt,NULL,NULL,NULL
Fatima,Khan,Sweden,NULL,NULL,NULL
Sophia,Johansson,"United States",NULL,NULL,NULL
Maria,Patel,"United States",NULL,NULL,NULL
John,Silva,Sweden,NULL,NULL,NULL
Chen,Schneider,Japan,NULL,NULL,NULL
Lucas,Rossi,Nigeria,NULL,NULL,NULL
Sophia,Yamamoto,"South Korea",NULL,NULL,NULL
Ingrid,Nguyen,"United States",NULL,NULL,NULL
Aisha,Ivanov,"United Kingdom",NULL,NULL,NULL
Muhammad,Garcia,India,NULL,NULL,NULL
Muhammad,Sato,"United Kingdom",NULL,NULL,NULL
Sara,Sato,China,NULL,NULL,NULL
Hiroshi,Hassan,France,NULL,NULL,NULL
Fatima,Garcia,India,NULL,NULL,NULL
Olivia,Patel,Pakistan,NULL,NULL,NULL
Ingrid,Silva,Mexico,NULL,NULL,NULL
Aisha,Kim,Canada,NULL,NULL,NULL
Aisha,Johansson,China,NULL,NULL,NULL
Lucas,Smith,Sweden,NULL,NULL,NULL
Isabella,MYller,France,NULL,NULL,NULL
Santiago,Johansson,Brazil,NULL,NULL,NULL
Ahmed,Khan,Sweden,NULL,NULL,NULL
Hiroshi,Johansson,China,NULL,NULL,NULL
Ahmed,Sato,"South Korea",NULL,NULL,NULL
Isabella,Schneider,Vietnam,NULL,NULL,NULL
Ingrid,Lee,Russia,NULL,NULL,NULL
Ingrid,Rossi,Germany,NULL,NULL,NULL
Zhang,Nguyen,Germany,NULL,NULL,NULL
Santiago,Khan,Japan,NULL,NULL,NULL
Elena,Sato,China,NULL,NULL,NULL
Chen,Dubois,Egypt,NULL,NULL,NULL
Carlos,Rossi,Russia,NULL,NULL,NULL
Sara,MYller,Russia,NULL,NULL,NULL
Lucas,Garcia,Canada,NULL,NULL,NULL
Aisha,Khan,Sweden,NULL,NULL,NULL
Muhammad,Smith,Vietnam,NULL,NULL,NULL
Santiago,Khan,Germany,NULL,NULL,NULL
Ingrid,Smith,"United States",NULL,NULL,NULL
John,Kim,Nigeria,NULL,NULL,NULL
David,Khan,Italy,NULL,NULL,NULL
Maria,Khan,Mexico,NULL,NULL,NULL
David,Silva,Vietnam,NULL,NULL,NULL
Lucas,Patel,"United States",NULL,NULL,NULL
Liam,Martinez,"United States",NULL,NULL,NULL
Elena,Olsen,"United Kingdom",NULL,NULL,NULL
Carlos,MYller,China,NULL,NULL,NULL
Chen,Khan,Japan,NULL,NULL,NULL
Elena,Kim,India,NULL,NULL,NULL
Liam,Brown,India,NULL,NULL,NULL
Liam,Yamamoto,Sweden,NULL,NULL,NULL
Muhammad,MYller,Spain,NULL,NULL,NULL
Ahmed,Johansson,Pakistan,NULL,NULL,NULL
Fatima,Sato,India,NULL,NULL,NULL
Zhang,Kim,Mexico,NULL,NULL,NULL
Sophia,Sato,Italy,NULL,NULL,NULL
Liam,Olsen,Spain,NULL,NULL,NULL
Ahmed,Yamamoto,Mexico,NULL,NULL,NULL
Sara,Khan,Vietnam,NULL,NULL,NULL
Isabella,Olsen,Germany,NULL,NULL,NULL
Elena,Silva,Spain,NULL,NULL,NULL
Olivia,Olsen,Pakistan,NULL,NULL,NULL
David,Brown,France,NULL,NULL,NULL
Ingrid,Yamamoto,"South Korea",NULL,NULL,NULL
Aisha,Rossi,Japan,NULL,NULL,NULL
Fatima,Ivanov,Vietnam,NULL,NULL,NULL
Maria,Lee,China,NULL,NULL,NULL
Muhammad,Nguyen,"United States",NULL,NULL,NULL
Muhammad,Martinez,"United Kingdom",NULL,NULL,NULL
Sara,Rossi,Russia,NULL,NULL,NULL
Sophia,Kim,"South Korea",NULL,NULL,NULL
Aisha,Silva,Japan,NULL,NULL,NULL
Santiago,Silva,Sweden,NULL,NULL,NULL
Chen,Kim,"United States",NULL,NULL,NULL
Aisha,Nguyen,China,NULL,NULL,NULL
Muhammad,Yamamoto,Italy,NULL,NULL,NULL
Isabella,Lee,Italy,NULL,NULL,NULL
Isabella,Rossi,Canada,NULL,NULL,NULL
Liam,Dubois,China,NULL,NULL,NULL
Chen,Smith,Australia,NULL,NULL,NULL
Chen,Nguyen,Vietnam,NULL,NULL,NULL
Liam,Olsen,Mexico,NULL,NULL,NULL
Carlos,Silva,Brazil,NULL,NULL,NULL
Elena,Kim,"South Korea",NULL,NULL,NULL
Aisha,Johansson,India,NULL,NULL,NULL
Fatima,Hassan,Egypt,NULL,NULL,NULL
Muhammad,Silva,Australia,NULL,NULL,NULL
John,Rossi,Italy,NULL,NULL,NULL
John,Hassan,"United States",NULL,NULL,NULL
Aisha,Kim,China,NULL,NULL,NULL
Isabella,Smith,Vietnam,NULL,NULL,NULL
Elena,Smith,"South Korea",NULL,NULL,NULL
Elena,Kim,Brazil,NULL,NULL,NULL
Liam,Rossi,Sweden,NULL,NULL,NULL
John,Khan,China,NULL,NULL,NULL
Liam,Yamamoto,Nigeria,NULL,NULL,NULL
Isabella,MYller,Russia,NULL,NULL,NULL
Aisha,Rossi,Spain,NULL,NULL,NULL
Muhammad,Sato,Egypt,NULL,NULL,NULL
Muhammad,Johansson,China,NULL,NULL,NULL
Sara,Khan,India,NULL,NULL,NULL
Sophia,Rossi,Spain,NULL,NULL,NULL
Maria,Martinez,Sweden,NULL,NULL,NULL
Olivia,Patel,Spain,NULL,NULL,NULL
Hiroshi,Smith,Japan,NULL,NULL,NULL
Maria,Ivanov,India,NULL,NULL,NULL
Fatima,Olsen,Vietnam,NULL,NULL,NULL
Ahmed,Brown,Canada,NULL,NULL,NULL
John,Garcia,"South Korea",NULL,NULL,NULL
Elena,Johansson,Canada,NULL,NULL,NULL
Santiago,Smith,Pakistan,NULL,NULL,NULL
Maria,Khan,Brazil,NULL,NULL,NULL
Ingrid,Schneider,Vietnam,NULL,NULL,NULL
David,Khan,Germany,NULL,NULL,NULL
Fatima,Sato,Nigeria,NULL,NULL,NULL
Fatima,Yamamoto,Australia,NULL,NULL,NULL
Fatima,Brown,"United Kingdom",NULL,NULL,NULL
Ahmed,Sato,"United Kingdom",NULL,NULL,NULL
Ahmed,Rossi,Australia,NULL,NULL,NULL
Elena,Ivanov,India,NULL,NULL,NULL
Sara,MYller,Canada,NULL,NULL,NULL
Ingrid,Olsen,France,NULL,NULL,NULL
Fatima,Khan,Spain,NULL,NULL,NULL
Lucas,Kim,"United States",NULL,NULL,NULL
Ingrid,Dubois,Vietnam,NULL,NULL,NULL
Aisha,Silva,Canada,NULL,NULL,NULL
Carlos,Silva,Russia,NULL,NULL,NULL
Hiroshi,Smith,Mexico,NULL,NULL,NULL
Ingrid,Olsen,France,NULL,NULL,NULL
Muhammad,Silva,"South Korea",NULL,NULL,NULL
Muhammad,Smith,France,NULL,NULL,NULL
Muhammad,Ivanov,Australia,NULL,NULL,NULL
Maria,Rossi,India,NULL,NULL,NULL
John,Smith,Sweden,NULL,NULL,NULL
Zhang,Patel,Brazil,NULL,NULL,NULL
Sara,Hassan,China,NULL,NULL,NULL
Aisha,Silva,India,NULL,NULL,NULL
Hiroshi,Johansson,"United Kingdom",NULL,NULL,NULL
Hiroshi,Ivanov,China,NULL,NULL,NULL
Maria,Smith,Australia,NULL,NULL,NULL
Ingrid,Yamamoto,Sweden,NULL,NULL,NULL
Carlos,Kim,Brazil,NULL,NULL,NULL
David,Martinez,China,NULL,NULL,NULL
Lucas,Khan,Australia,NULL,NULL,NULL
Santiago,Brown,"United Kingdom",NULL,NULL,NULL
Muhammad,Yamamoto,"United Kingdom",NULL,NULL,NULL
Olivia,Ivanov,Spain,NULL,NULL,NULL
Olivia,Khan,"United Kingdom",NULL,NULL,NULL
Santiago,Schneider,China,NULL,NULL,NULL
Muhammad,Johansson,Vietnam,NULL,NULL,NULL
Hiroshi,Ivanov,Japan,NULL,NULL,NULL
Isabella,Kim,"South Korea",NULL,NULL,NULL
Ahmed,Martinez,Egypt,NULL,NULL,NULL
Liam,Yamamoto,Brazil,NULL,NULL,NULL
Liam,Yamamoto,Canada,NULL,NULL,NULL
Liam,Rossi,Spain,NULL,NULL,NULL
Muhammad,Silva,Canada,NULL,NULL,NULL
Ahmed,Smith,Australia,NULL,NULL,NULL
Sophia,Garcia,France,NULL,NULL,NULL
Santiago,Martinez,Pakistan,NULL,NULL,NULL
Liam,Smith,Sweden,NULL,NULL,NULL
Lucas,Sato,Italy,NULL,NULL,NULL
Zhang,Dubois,"South Korea",NULL,NULL,NULL
